stock1,stock2,stability
MA,UBER,0.24
UBER,ECL,0.2133333333333333
SYK,INTU,0.2124352331606217
ORCL,PWR,0.2020725388601036
HON,SHW,0.2020725388601036
ABNB,APD,0.2
TXN,SPGI,0.1968911917098445
CRM,CI,0.1968911917098445
HON,SYK,0.1968911917098445
MCK,DELL,0.1909090909090909
SCHW,HLT,0.1888111888111888
LIN,QCOM,0.1865284974093264
TMO,HON,0.1865284974093264
JPM,ANET,0.1824817518248175
MRK,UNP,0.1813471502590673
NEE,TMO,0.1813471502590673
MA,NSC,0.1813471502590673
APP,COF,0.1764705882352941
MA,AON,0.1761658031088082
LIN,CDNS,0.1761658031088082
