stock1,stock2,stability,beta_ols,beta_mean,beta_std,beta_min,beta_max,beta_range
MA,UBER,0.24,0.5133,0.3278,0.0486,0.0913,0.4105,0.3192
UBER,ECL,0.2133333333333333,1.884,1.6503,0.1612,1.4242,2.2305,0.8063
SYK,INTU,0.2124352331606217,0.7309,0.433,0.0939,0.0509,0.5304,0.4796
ORCL,PWR,0.2020725388601036,0.6385,0.3828,0.046,0.1991,0.5212,0.3222
HON,SHW,0.2020725388601036,0.6994,0.6246,0.049,0.5483,0.8314,0.2831
ABNB,APD,0.2,-0.2769,0.3657,0.0738,0.2599,0.4981,0.2382
TXN,SPGI,0.1968911917098445,0.8415,0.5428,0.0575,0.3849,0.6285,0.2437
CRM,CI,0.1968911917098445,1.0445,0.6299,0.1171,0.398,0.9307,0.5327
HON,SYK,0.1968911917098445,0.8492,0.7631,0.0662,0.6459,0.9608,0.3148
MCK,DELL,0.1909090909090909,0.8368,0.1582,0.2084,-0.3976,0.3747,0.7722
SCHW,HLT,0.1888111888111888,0.6985,0.6268,0.0471,0.5284,0.725,0.1966
LIN,QCOM,0.1865284974093264,1.1007,0.4029,0.0337,0.3081,0.4705,0.1624
TMO,HON,0.1865284974093264,1.3713,0.6844,0.0731,0.4324,0.7947,0.3623
JPM,ANET,0.1824817518248175,0.51,0.3044,0.0699,0.053,0.4304,0.3774
MRK,UNP,0.1813471502590673,0.7563,0.3638,0.0482,0.1712,0.4263,0.2551
NEE,TMO,0.1813471502590673,0.8647,0.3576,0.0638,0.2052,0.4544,0.2492
MA,NSC,0.1813471502590673,1.5515,0.6523,0.055,0.5425,0.861,0.3185
APP,COF,0.1764705882352941,3.9136,2.3485,0.2955,1.9137,3.0287,1.115
MA,AON,0.1761658031088082,1.3181,0.7341,0.0556,0.5851,0.8974,0.3123
