stock1,stock2,stability
GOOGL,GOOG,0.3645833333333333
MA,UBER,0.24
UBER,ECL,0.21333333333333335
SYK,INTU,0.20833333333333334
INTU,MRSH,0.203125
HON,SHW,0.203125
ABNB,APD,0.2
TXN,SPGI,0.19791666666666666
CRM,CI,0.19791666666666666
HON,SYK,0.19791666666666666
MCK,DELL,0.1926605504587156
SCHW,HLT,0.1888111888111888
TMO,HON,0.1875
LIN,QCOM,0.1875
JPM,ANET,0.18248175182481752
MRK,UNP,0.18229166666666666
MA,NSC,0.18229166666666666
NEE,TMO,0.18229166666666666
AMZN,DASH,0.18181818181818182
APP,COF,0.18
TXN,MCO,0.17708333333333334
MRSH,AON,0.17708333333333334
BLK,MAR,0.17708333333333334
CRM,ITW,0.17708333333333334
MA,CRWD,0.17567567567567569
ORCL,AZO,0.171875
DHR,PLD,0.171875
UNP,SHW,0.171875
MA,AON,0.171875
PLD,ITW,0.171875
HON,NOW,0.16770186335403728
SPGI,NOW,0.16770186335403728
V,MCO,0.16666666666666666
AXP,TT,0.16666666666666666
LIN,MSI,0.16666666666666666
SPGI,MCO,0.16666666666666666
MA,EQIX,0.16666666666666666
SYK,TDG,0.16666666666666666
RTX,CRH,0.16666666666666666
HON,CI,0.16666666666666666
BKNG,APO,0.1638418079096045
TXN,DASH,0.16363636363636364
CRH,PCAR,0.16145833333333334
TMO,SPGI,0.16145833333333334
ICE,MRSH,0.16145833333333334
DUK,HWM,0.16037735849056603
HWM,KMI,0.16037735849056603
V,UBER,0.16
TXN,HON,0.15625
CB,SRE,0.15625
MA,UNP,0.15625
HON,AON,0.15625
KO,AEP,0.15625
MDLZ,O,0.15625
ADI,NSC,0.15625
TMUS,NOW,0.15527950310559005
TT,HLT,0.15384615384615385
V,ICE,0.15104166666666666
INTU,CTAS,0.15104166666666666
CB,CL,0.15104166666666666
APH,PH,0.15104166666666666
ADI,SYK,0.15104166666666666
MRSH,CTAS,0.15104166666666666
HON,NOC,0.15104166666666666
INTU,SNPS,0.15104166666666666
ADI,LHX,0.15104166666666666
SHW,ITW,0.15104166666666666
ADI,CTAS,0.15104166666666666
PWR,CMI,0.15104166666666666
MA,SYK,0.15104166666666666
HWM,TRV,0.1509433962264151
IBM,HWM,0.1509433962264151
BAC,GM,0.14917127071823205
CME,GM,0.14917127071823205
COF,HOOD,0.14893617021276595
MRK,APO,0.14689265536723164
KLAC,HLT,0.14685314685314685
COF,CEG,0.14634146341463414
ANET,HLT,0.145985401459854
TXN,CSX,0.14583333333333334
ADI,PNC,0.14583333333333334
UNP,CME,0.14583333333333334
V,TDG,0.14583333333333334
MA,ITW,0.14583333333333334
C,GM,0.143646408839779
TMO,NOW,0.14285714285714285
SYK,NOW,0.14285714285714285
SHW,CTAS,0.140625
PEP,ELV,0.140625
VRTX,SO,0.140625
VRTX,CDNS,0.140625
ICE,ORLY,0.140625
INTU,WM,0.140625
SYK,WM,0.140625
MRSH,SNPS,0.140625
SCHW,ROST,0.140625
C,BK,0.140625
HON,SBUX,0.140625
HON,ROST,0.140625
BKNG,DUK,0.140625
AVGO,CB,0.140625
TXN,ICE,0.140625
ORCL,LIN,0.140625
MA,HON,0.140625
