stock1,stock2,stability
NVDA,ABBV,0.03870967741935484
NVDA,PH,0.06217616580310881
NVDA,SO,0.025906735751295335
NVDA,DELL,0.03636363636363636
NVDA,EMR,0.04145077720207254
NVDA,CMI,0.07772020725388601
NVDA,CRH,0.02072538860103627
NVDA,PCAR,0.08290155440414508
AAPL,MSFT,0.046632124352331605
AAPL,ABBV,0.0967741935483871
AAPL,PG,0.03626943005181347
AAPL,KO,0.046632124352331605
AAPL,MS,0.046632124352331605
AAPL,LIN,0.04145077720207254
AAPL,DE,0.015544041450777202
AAPL,BLK,0.07772020725388601
AAPL,QCOM,0.04145077720207254
AAPL,PLD,0.046632124352331605
AAPL,VRTX,0.025906735751295335
AAPL,SO,0.046632124352331605
AAPL,DUK,0.03626943005181347
AAPL,SNPS,0.08290155440414508
AAPL,CDNS,0.025906735751295335
AAPL,FTNT,0.031088082901554404
MSFT,PG,0.025906735751295335
MSFT,KO,0.03626943005181347
MSFT,MCD,0.031088082901554404
MSFT,ISRG,0.07772020725388601
MSFT,UNP,0.07772020725388601
MSFT,SYK,0.05181347150259067
MSFT,PLD,0.08808290155440414
MSFT,PGR,0.05699481865284974
MSFT,INTU,0.03626943005181347
MSFT,NOW,0.07407407407407407
MSFT,SO,0.010362694300518135
MSFT,DUK,0.025906735751295335
MSFT,WM,0.09326424870466321
MSFT,ICE,0.031088082901554404
MSFT,MRSH,0.046632124352331605
MSFT,SNPS,0.046632124352331605
MSFT,CDNS,0.05181347150259067
MSFT,CTAS,0.09844559585492228
MSFT,RSG,0.08290155440414508
MSFT,AON,0.031088082901554404
MSFT,APD,0.05699481865284974
MSFT,NSC,0.11917098445595854
AMZN,PLTR,0.13793103448275862
AMZN,BAC,0.10880829015544041
AMZN,CSCO,0.10880829015544041
AMZN,NEE,0.046632124352331605
AMZN,CRM,0.04145077720207254
AMZN,TXN,0.05699481865284974
AMZN,APP,0.09803921568627451
AMZN,HON,0.06735751295336788
AMZN,SYK,0.06217616580310881
AMZN,SPGI,0.11917098445595854
AMZN,CME,0.05699481865284974
AMZN,EQIX,0.12435233160621761
AMZN,ICE,0.06735751295336788
AMZN,PNC,0.07772020725388601
AMZN,ITW,0.05181347150259067
AMZN,CSX,0.03626943005181347
AMZN,AEP,0.05181347150259067
AMZN,ROST,0.03626943005181347
AMZN,LHX,0.05181347150259067
AMZN,APD,0.07772020725388601
AMZN,NSC,0.05699481865284974
AMZN,DLR,0.09326424870466321
AMZN,O,0.06735751295336788
GOOGL,GOOG,0.3626943005181347
GOOGL,AVGO,0.03626943005181347
GOOGL,BRK-B,0.04145077720207254
GOOGL,JPM,0.07772020725388601
GOOGL,KO,0.02072538860103627
GOOGL,CSCO,0.02072538860103627
GOOGL,AMAT,0.11398963730569948
GOOGL,LRCX,0.09326424870466321
GOOGL,MS,0.07772020725388601
GOOGL,KLAC,0.08808290155440414
GOOGL,TJX,0.03626943005181347
GOOGL,APH,0.046632124352331605
GOOGL,ADI,0.04145077720207254
GOOGL,BLK,0.08290155440414508
GOOGL,CB,0.04145077720207254
GOOGL,HCA,0.05056179775280899
GOOGL,SO,0.046632124352331605
GOOGL,COF,0.046632124352331605
GOOGL,DUK,0.04145077720207254
GOOGL,DELL,0.045454545454545456
GOOGL,TT,0.04145077720207254
GOOGL,MAR,0.04145077720207254
GOOGL,PNC,0.04145077720207254
GOOGL,EMR,0.07772020725388601
GOOGL,CMI,0.08808290155440414
GOOGL,AEP,0.031088082901554404
GOOGL,CRH,0.07772020725388601
GOOGL,GM,0.04395604395604396
GOOGL,TRV,0.07253886010362694
GOOG,AVGO,0.046632124352331605
GOOG,BRK-B,0.046632124352331605
GOOG,JPM,0.05181347150259067
GOOG,COST,0.02072538860103627
GOOG,KO,0.03626943005181347
GOOG,CSCO,0.025906735751295335
GOOG,AMAT,0.11917098445595854
GOOG,LRCX,0.09844559585492228
GOOG,MS,0.07772020725388601
GOOG,KLAC,0.09844559585492228
GOOG,TJX,0.05699481865284974
GOOG,APH,0.046632124352331605
GOOG,ADI,0.046632124352331605
GOOG,BLK,0.08808290155440414
GOOG,CB,0.046632124352331605
GOOG,HCA,0.0449438202247191
GOOG,PH,0.10880829015544041
GOOG,SO,0.04145077720207254
GOOG,COF,0.046632124352331605
GOOG,DUK,0.031088082901554404
GOOG,DELL,0.05454545454545454
GOOG,TT,0.04145077720207254
GOOG,MAR,0.05699481865284974
GOOG,PNC,0.05181347150259067
GOOG,EMR,0.07253886010362694
GOOG,CMI,0.09844559585492228
GOOG,AEP,0.025906735751295335
GOOG,HLT,0.04895104895104895
GOOG,CRH,0.08808290155440414
GOOG,GM,0.038461538461538464
GOOG,TRV,0.08290155440414508
META,NFLX,0.08588957055214724
META,AMGN,0.0736196319018405
META,UBER,0.04
META,BKNG,0.04294478527607362
META,CEG,0.047619047619047616
META,ECL,0.06748466257668712
META,CL,0.05521472392638037
AVGO,BRK-B,0.08290155440414508
AVGO,JPM,0.10880829015544041
AVGO,KO,0.05699481865284974
AVGO,RTX,0.09326424870466321
AVGO,MS,0.08808290155440414
AVGO,APH,0.08290155440414508
AVGO,CB,0.13989637305699482
AVGO,SO,0.046632124352331605
AVGO,COF,0.05181347150259067
AVGO,DUK,0.10362694300518134
AVGO,DELL,0.05454545454545454
AVGO,HWM,0.056074766355140186
AVGO,MAR,0.046632124352331605
AVGO,AEP,0.09844559585492228
AVGO,HLT,0.11888111888111888
AVGO,CRH,0.10362694300518134
AVGO,GM,0.06043956043956044
AVGO,TRV,0.06735751295336788
TSLA,BLK,0.058823529411764705
TSLA,DUK,0.0748663101604278
TSLA,BX,0.0374331550802139
BRK-B,JPM,0.05181347150259067
BRK-B,ORCL,0.09844559585492228
BRK-B,COST,0.05181347150259067
BRK-B,ABBV,0.05161290322580645
BRK-B,BAC,0.06735751295336788
BRK-B,KO,0.04145077720207254
BRK-B,CSCO,0.05699481865284974
BRK-B,AMAT,0.09844559585492228
BRK-B,MS,0.09844559585492228
BRK-B,ANET,0.08029197080291971
BRK-B,SCHW,0.05181347150259067
BRK-B,ADI,0.046632124352331605
BRK-B,BLK,0.05699481865284974
BRK-B,PANW,0.024844720496894408
BRK-B,CB,0.05181347150259067
BRK-B,VRTX,0.04145077720207254
BRK-B,HCA,0.0898876404494382
BRK-B,COF,0.06735751295336788
BRK-B,DUK,0.05181347150259067
BRK-B,DELL,0.11818181818181818
BRK-B,WM,0.08808290155440414
BRK-B,TT,0.08290155440414508
BRK-B,MAR,0.07772020725388601
BRK-B,EMR,0.07772020725388601
BRK-B,RSG,0.07253886010362694
BRK-B,HLT,0.08391608391608392
BRK-B,CRH,0.046632124352331605
BRK-B,TRV,0.04145077720207254
BRK-B,APO,0.11797752808988764
WMT,ORCL,0.05699481865284974
WMT,CAT,0.031088082901554404
WMT,RTX,0.025906735751295335
WMT,GS,0.05699481865284974
WMT,AXP,0.031088082901554404
WMT,KLAC,0.025906735751295335
WMT,APH,0.03626943005181347
WMT,WELL,0.03626943005181347
WMT,ETN,0.025906735751295335
WMT,PH,0.031088082901554404
WMT,SO,0.06735751295336788
WMT,COF,0.025906735751295335
WMT,EMR,0.03626943005181347
WMT,CMI,0.025906735751295335
WMT,HLT,0.055944055944055944
WMT,CRH,0.025906735751295335
WMT,PCAR,0.05699481865284974
LLY,ORCL,0.015544041450777202
LLY,KO,0.05181347150259067
LLY,AXP,0.025906735751295335
LLY,ETN,0.015544041450777202
LLY,PANW,0.12422360248447205
LLY,PH,0.015544041450777202
LLY,SO,0.046632124352331605
LLY,KKR,0.016129032258064516
LLY,EMR,0.025906735751295335
LLY,CMI,0.02072538860103627
LLY,CRH,0.04145077720207254
LLY,PCAR,0.031088082901554404
LLY,AZO,0.05181347150259067
JPM,KO,0.015544041450777202
JPM,CSCO,0.031088082901554404
JPM,AMAT,0.11917098445595854
JPM,TJX,0.05699481865284974
JPM,ANET,0.18248175182481752
JPM,APH,0.07253886010362694
JPM,ADI,0.031088082901554404
JPM,CB,0.025906735751295335
JPM,HCA,0.06741573033707865
JPM,SO,0.031088082901554404
JPM,COF,0.08290155440414508
JPM,CEG,0.047619047619047616
JPM,DUK,0.031088082901554404
JPM,DELL,0.02727272727272727
JPM,HWM,0.037383177570093455
JPM,TT,0.08290155440414508
JPM,ICE,0.046632124352331605
JPM,MAR,0.08290155440414508
JPM,EMR,0.031088082901554404
JPM,CMI,0.0051813471502590676
JPM,AEP,0.04145077720207254
JPM,HLT,0.04195804195804196
JPM,CRH,0.07253886010362694
JPM,GM,0.04945054945054945
JPM,TRV,0.07772020725388601
V,MA,0.11398963730569948
V,HD,0.10880829015544041
V,AMGN,0.06217616580310881
V,NEE,0.09844559585492228
V,CRM,0.10362694300518134
V,UBER,0.16
V,HON,0.09844559585492228
V,LMT,0.11917098445595854
V,BLK,0.10362694300518134
V,UNP,0.10362694300518134
V,LOW,0.07772020725388601
V,SYK,0.10880829015544041
V,SPGI,0.07772020725388601
V,VRTX,0.07772020725388601
V,HCA,0.12921348314606743
V,CME,0.11398963730569948
V,CEG,0.07142857142857142
V,DUK,0.07253886010362694
V,EQIX,0.13471502590673576
V,ICE,0.15025906735751296
V,SHW,0.08808290155440414
